Why Be Happy When You Could Be Normal?,Jeanette Winterson,(Semi-) Autobiography,EN,Berlin
"Dürfen wir so bleiben, sie wir sind?",Jürgen Wiebicke,Anthropology,DE,Berlin
Der grosse Preis,Isabelle Graw,Art,DE,Berlin
Kunst ist käuflich,Dirk boll,Art,DE,Berlin
Mschatta Fassade,"Wolf Dieter Dube
",Art,DE,Berlin
Theaterstücke,Harold Pinter,Art,DE,Berlin
Das Geschenk der Kunst ,Peter Klaus Schuster,Art,DE/EN,Berlin
..isms - understanding art,,Art,EN,Berlin
Art History: a very short introduction,Dana Arnold,Art,EN,Berlin
Art of the Deal: Contemporary Art in a Global Financial Market ,Noah Horowitz,Art,EN,Berlin
Bauhaus magdalena droste,Magdalena Droste,Art,EN,Berlin
Bauhaus Utopien,Bauhaus,Art,EN,Berlin
Nulla dies sina linea,"David Böhm, jiri franta",Art,EN,Berlin
Seeing the light in art,Gillian Wolfe,Art,EN,Berlin
George Grosz,Ralph Jentsch,Art,FR,Berlin
Kandisky,Hajo Düchting,Art,NL,Berlin
Arbeit und struktur,Wolfgang Herrndorf,Autobiography,DE,Berlin
Briefe an sartre,Simone de beauvoir,Autobiography,DE,Berlin
"Ich weiss, ich war's",Christoph Schlingensief,Autobiography,DE,Berlin
Was mir wichtig war,Maron gräfin Dönhoff,Autobiography,DE,Berlin
 Fucking Berlin,Sonia Rossi,Autobiography,EN,Berlin
A mighty heart,Mariane Pearl,Autobiography,EN,Berlin
We are our mothers' daughters,Cokie Roberts,Autobiography,EN,Berlin
Wild,Cheryl Strayed,Autobiography,EN,Berlin
The Spiritual Journey of Alejandro Jodorowsky,Jodorowsky,Autobiography,EN,Berlin
Papeles Inesperados,Julio Cortázar,Autobiography,ES,Berlin
The (honest) truth about dishonesty,Dan Ariely,Behavioral Economics,EN,Berlin
Hitler der aufstieg,Joachim C. Fest,Biography,DE,Berlin
Hitler der führer,Joachim C. Fest,Biography,DE,Berlin
Katharina die grosse,Vincent Cronin,Biography,DE,Berlin
A translantic love affair ,Simone de beauvoir,Biography,EN,Berlin
Follow your gut,"Rob Knight, Bendan Buhler",Biology,EN,Berlin
Die 11 Geheimnisse des ALDI-Erfolgs,Dieter Brandes,Business,DE,Berlin
Einfach managen,Dieter Brandes,Business,DE,Berlin
Business stripped bare,Richard Branson,Business,EN,Berlin
"Clans, supercharge your business",Sandy McDonald,Business,EN,Berlin
Hope is not a strategy,Rick Page,Business,EN,Berlin
I will teach you to be rich,Ramit Sethi,Business,EN,Berlin
The keys to success and long term fullfillment,George Leonard,Business,EN,Berlin
Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,Business,EN,Berlin
"Oh, wie schön ist Panama",Janosch,Children Fiction,DE,Berlin
Hitchcock/Truffaut,Truffaut,Cinema,EN,Berlin
Pulp Fiction - The script,Quentin Tarantino,Cinema,EN,Berlin
The Wes Anderson Collection,Matt Zoller Seitz,Cinema,EN,Berlin
Siddhartha,Hermann Hesse,Classic,DE,Berlin
Metamorphasis and Other Stories,Franz Kafka,Classic,EN,Berlin
Die enzyklopädie der frühen erde,Isabel Greenberg,Comic,DE,Berlin
Hip hop family tree V2.,Fantagraphics,Comic,EN,Berlin
Journey ,Aaron Becker,Comic,EN,Berlin
Life how it`s supposed to be ,Dirk Verschure,Comic,EN,Berlin
William Shakespeare's Star Wars,Ian Doescher,Comic,EN,Berlin
William shakespeare's star wars,Ian Doescher,Comic,EN,Berlin
Neurocomic,"Dr Matteo Farinella, Dr. Hana Ros",Comic,EN,Berlin
Are you my mother?,Alison Bechdel,Comic ,EN,Berlin
Black Hole,Charles Burns,Comic ,EN,Berlin
Black Paths,David Beauchard,Comic ,EN,Berlin
Fun Home,Alison Bechdel,Comic ,EN,Berlin
Ice Haven,Daniel Clowes,Comic ,EN,Berlin
Jimmy Corrigan : The smartest kid on Earth ,Chris Ware,Comic ,EN,Berlin
Megahex,Simon Hanselmann,Comic ,EN,Berlin
El Incal,"Jodorowsky, Moebius",Comic ,ES,Berlin
Epileptico ,David Beauchard,Comic ,ES,Berlin
The Story of Stuff - wie wir unsere erde zumüllen,Annie Leonard,Consumer science,DE,Berlin
Animal Vegetable Miracle,Barbara Kingsolver,Cooking,EN,Berlin
La cuisine de la villa lorraine marcel kreusch amazon,Marcel Kreusch,Cooking,EN,Berlin
The silver spoon,N/A,Cooking,EN,Berlin
キッチン(Kitchen),吉本ばなな（Banana Yoshimoto）,Cooking,JP,Berlin
Meine Faszinierende Papier-Welt,N/A,Crafts,DE,Berlin
3rd Degree,James Petterson,Crime,EN,Berlin
The White Lioness,Henning Mankel,Crime Fiction,EN,Berlin
An Optimist's Tour of the Future,Mark Stevenson,Culture,EN,Berlin 
Denglisch for Better Knowers,"Adam Fletcher, Paul Hawkins",Culture,EN/DE,Berlin
How to be German/ Wie Man Deutscher Wird,Adam Fletcher,Culture,EN/DE,Berlin
Make Me German,Adam Fletcher,Culture,EN/DE,Berlin
Illusion Confusion,Paul M. Baars,Design,EN,Berlin
"Fachwörterbuch Telekommunikation, Eng- Deu- Frz","J.P.Rehahn, 1992",Dictionary,"E, D, F",Berlin
Bhagavat Gita - wie sie ist,A.C. Bhaktivedanta Swami P.,Eastern Science,EN,Berlin
Vedanta Treatise - The Eternities,A. Parthasarathy,Eastern Science,EN,BErlin
Parkinson Gesetz,Parkinson,Economics,DE,Berlin
23 things they don't tell you about capitalism,Ha-Joon Chang,Economics,EN,Berlin
Animal spirit,"Akerlf, Shiller",Economics,EN,Berlin
Consumptionomics,Nair,Economics,EN,Berlin
Dear under cover economist,Tim Harford,Economics,EN,Berlin
Freakonomics,"Steven D. Levitt, Stephen J. Durner",Economics,EN,Berlin
The mystery of capital,Hernando de Soto,Economics,EN,Berlin
The strategy of conflict,Thomas C. Schelling,Economics,EN,Berlin
A Collection of Essays,George Orwell,Essays,EN,Berlin
Der Herr der Ringe,John R. R. Tolkien,Fantasy,DE,Berlin
The brothers grimm volume 2,Grimm,Fantasy,EN,Berlin
Crossroads of twilight,Robert Jordan,Fantasy,EN,Berlin
Lover beware,"Christine feehan, Katherine Sutcliffe, Fiona Brand, Eileen Wilks",Fantasy,EN,Berlin
New Spring,Robert Jordan,Fantasy,EN,Berlin
The scarecrows,Robert westall,Fantasy,EN,Berlin
